org_juridica,categoria,fecha_matricula,razon_social,tipo_identificacion,numero_identificacion,actividad_economica,actividad_economica2,actividad_economica3,actividad_economica4,desc_tamano_empresa,departamento,municipio,direccion_comercial,correo_comercial,rep_legal
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2022-01-25,EXPENSIS S.A.S.,NIT,901558830,Otras actividades de servicio financiero excepto las de seguros y pensiones n.c.p.,,,,MICRO,QUINDIO,ARMENIA,CARRERA 14 A NRO. 10,notificaciones@creditotucuota.com,ALVAREZ ECHAVARRIA JUAN CAMILO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2022-07-21,INMOBILIARIA CIUDAD DEL RIO S.A.S,NIT,901614970,Actividades inmobiliarias realizadas con bienes propios o arrendados,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,Otras actividades de servicio de apoyo a las empresas n.c.p.,,MICRO,ANTIOQUIA,MEDELLIN,CARRERA 43 G # 19 - ,info@inmobiliariacdr.com,JOHAN FELIPE RUIZ RIVILLAS
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2022-02-03,PROVEEDORA DE MATERIAS PRIMAS SAS,NIT,901562152,Comercio al por mayor de materias primas agropecuarias animales vivos,Comercio al por mayor de productos alimenticios,Actividades de consultoría de gestión,,MICRO,QUINDIO,ARMENIA,AVENIDA BOLIVAR 35 N,aux.contable@promaprisas.com,BUENDIA VARELA VICTOR RAUL
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2022-05-04,M&C TECHNOLOGY AND ENGINEERING S.A.S.,NIT,901592851,Mantenimiento y reparación especializado de maquinaria y equipo,Mantenimiento y reparación especializado de equipo eléctrico,Construcción de otras obras de ingeniería civil,Alquiler y arrendamiento de otros tipos de maquinaria equipo y bienes tangibles n.c.p.,MICRO,SANTANDER,BARRANCABERMEJA,CL 71 18 75 OF 203,info@mycltda.com,BAYONA BAUTISTA MANUEL
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2022-05-13,AJ CAPITAL GROUP SAS,NIT,901594177,Publicidad,Actividades combinadas de servicios administrativos de oficina,Comercio al por mayor de productos alimenticios,,MICRO,BOGOTA,BOGOTA D.C.,CL 5 A NO. 39 D 28,contabilidad@ajcapitalg.com,ANGELA MILENA CHIVARA PACHECO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2022-07-12,ALIVIO FINANCES S.A.S,NIT,901616540,Actividades de consultoría informática y actividades de administración de instalaciones informáticas,Otras actividades de servicio financiero excepto las de seguros y pensiones n.c.p.,,,MICRO,BOGOTA,BOGOTA D.C.,CL 64 A NO. 52 53 TO,daniel.granados@aliviofinances.com,URLEY DANIEL GRANADOS ROJAS
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2022-01-13,URBAN MAC 1 SAS,NIT,901558624,Actividades inmobiliarias realizadas con bienes propios o arrendados,Otros tipos de alojamiento para visitantes,,,MICRO,BOGOTA,BOGOTA D.C.,CL 98 NO. 21 36 OF 5,carlos@soymacondo.com,CONECTY S.A.S.
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2022-02-28,PAZ VELASQUEZ LOPEZ S.A.S.,NIT,901570573,Terminación y acabado de edificios y obras de ingeniería civil,Fabricación de partes y piezas de madera de carpintería y ebanistería para la construcción,Explotación mixta (agrícola y pecuaria),Actividades de consultoría de gestión,MICRO,RISARALDA,PEREIRA,CALLE 17 NRO. 23-55 ,paulaa.velasquezl@autonoma.edu.co,VELASQUEZ LOPEZ PAULA ALEJANDRA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2022-03-23,PARABRISAS RISARALDA S.A.S.,NIT,901578192,Comercio de partes piezas (autopartes) y accesorios (lujos) para vehículos automotores,,,,MICRO,RISARALDA,PEREIRA,AVENIDA 30 DE AGOSTO,legal@autoglasscolombia.com,CORREA LENIS CESAR ANDRES
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2022-01-18,INVERSIONES LUCENA ORTIZ SAS,NIT,901556246,Actividades inmobiliarias realizadas con bienes propios o arrendados,Otras actividades complementarias al transporte,,,MICRO,BOGOTA,BOGOTA D.C.,CR 58 C NO. 147 81 T,ilucor@outlook.es,MARIA PAULA LUCENA ORTIZ
