org_juridica,categoria,fecha_matricula,razon_social,tipo_identificacion,numero_identificacion,actividad_economica,actividad_economica2,actividad_economica3,actividad_economica4,desc_tamano_empresa,departamento,municipio,direccion_comercial,correo_comercial,rep_legal
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-02-20,INTERASEO DEL ARCHIPIELAGO S.A.S E.S.P,NIT,901056038,Recolección de desechos no peligrosos,Tratamiento y disposición de desechos no peligrosos,Tratamiento y disposición de desechos peligrosos,Otras actividades de limpieza de edificios e instalaciones industriales,MEDIANA,SAN ANDRES Y PROVIDENCIA,SAN ANDRES,CR4 17 01 OF 202 ED ,notificaciones@interaseo.com.co,TRUJILLO TOBAR JOSE RICARDO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-06-12,VIRUTEX ILKO COLOMBIA S.A.S.,NIT,901088196,Otras industrias manufactureras n.c.p.,Otras actividades de servicio de apoyo a las empresas n.c.p.,Fabricación de otros productos químicos n.c.p.,Fabricación de artículos de plástico n.c.p.,GRANDE,CAUCA,CALOTO,ZN FRANCA DEL CAUCA ,virutexilkocolombiasas@virutexilko.com.co,CAICEDO GUTIERREZ ANTONIO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-05-15,AZ CIVIL S.A.S.,NIT,900849836,Construcción de otras obras de ingeniería civil,Construcción de proyectos de servicio público,Construcción de carreteras y vías de ferrocarril,Comercio al por mayor de materiales de construcción artículos de ferretería pinturas productos de vidrio equipo y materiales de fontanería y calefacción,MEDIANA,ANTIOQUIA,MEDELLIN,CARRERA 50  60  18,azcivilsas@gmail.com,WILMAN  BLANCO TORRES
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-07-14,COMERCIAL DE GRANOS INTERNACIONAL SAS,NIT,901097194,Comercio al por mayor de productos alimenticios,,,,MEDIANA,SANTANDER,BUCARAMANGA,BG 14 LC 5  CENTROAB,gerencia@comercialdegranos.com,RAMIREZ RODRIGUEZ JULIO ALIRIO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-12-23,TECLINO S A S,NIT,901037669,Actividades de juegos de azar y apuestas,,,,MEDIANA,BOGOTA,BOGOTA D.C.,CALLE 69 A NO 9 47,gerencia@rivalo.co,NILS  LINDEMANN R
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-06-30,DRAXY INTERNATIONAL SAS,NIT,901093467,Confección de prendas de vestir excepto prendas de piel,,,,MEDIANA,BOGOTA,BOGOTA D.C.,CR 63   4 G   51,drx@draxy.com.co,DIANA  AMAYA ULLOA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-09-28,RED INTEGRADA SALUD COLOMBIA IPS S.A.S.,NIT,900900178,Actividades de la práctica médica sin internación,Actividades de la práctica odontológica,Otras actividades de atención de la salud humana,,MEDIANA,SANTANDER,FLORIDABLANCA,CALLE 30 A # 23 - 12,revisorfiscal@redinsalud.com,RINCON NAVARRO FABIO RENE
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-11-04,CARTAGENA VACATION RENTALS S.A.S.,NIT,900906469,Otros tipos de alojamiento para visitantes,Actividades inmobiliarias realizadas con bienes propios o arrendados,Actividades de administración empresarial,Comercio al por menor de electrodomésticos y gasodomésticos muebles y equipos de iluminación en establecimientos especializados,MEDIANA,BOLIVAR,CARTAGENA,BOCAGRANDE CALLE 9 N,contable@vacationcartagena.com vacationcartagena@gmail.com,BRANDON  EMIGDIO SLOAN
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-02-04,SOLUCIONES ALIMENTARIAS INDUSTRIALES INTEGRA SAS,NIT,900816647,Comercio al por mayor de otros productos n.c.p.,Elaboración de otros productos alimenticios n.c.p.,,,MEDIANA,ANTIOQUIA,MEDELLIN,CARRERA 50 G 10 B SU,contador@proexcar.com.co,ADRIANA MARIA RAMIREZ GOMEZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-11-28,NBCUNIVERSAL NETWORKS INTERNATIONAL COLOMBIA S.A.S,NIT,901135214,Publicidad,Otras actividades profesionales científicas y técnicas n.c.p.,Otras actividades de servicio de apoyo a las empresas n.c.p.,,MEDIANA,BOGOTA,BOGOTA D.C.,CL 70 BIS NO. 4 - 41,mgutierrez@bu.com.co,CLAUDIA YANET ARIAS ARIAS
