org_juridica,categoria,fecha_matricula,razon_social,tipo_identificacion,numero_identificacion,actividad_economica,actividad_economica2,actividad_economica3,actividad_economica4,desc_tamano_empresa,departamento,municipio,direccion_comercial,correo_comercial,rep_legal
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2018-01-17,AREA LIMPIA DISTRITO CAPITAL S.A.S. E.S.P.,NIT,901146434,Recolección de desechos no peligrosos,Tratamiento y disposición de desechos no peligrosos,,,GRANDE,BOGOTA,BOGOTA D.C.,AVENIDA CALLE 17 NO ,notificacionesjudiciales@arealimpia.com.co,GUILLERMO CEREZO OMEDES
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2021-06-10,CURE CONSTRUCCIONES S.A.S,NIT,901492454,Construcción de carreteras y vías de ferrocarril,Construcción de otras obras de ingeniería civil,Transporte férreo de carga,Comercio al por mayor de materiales de construcción artículos de ferretería pinturas productos de vidrio equipo y materiales de fontanería y calefacción,MEDIANA,BOLIVAR,MAGANGUE,CL 16 B N 37   24,cureconstruccionessas@gmail.com,CURE BRAVO DANIELA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2020-09-02,COMERCIALIZADORA POPORRO SAS,NIT,901407291,Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos bebidas (alcohólicas y no alcohólicas) o tabaco,Actividades de envase y empaque,Comercio al por mayor de productos alimenticios,Comercio al por mayor de materias primas agropecuarias animales vivos,GRANDE,NORTE DE SANTANDER,CUCUTA,CALLE 6  7 60 SEG PI,empacadorapoporro@gmail.com,MONSALVE MENDOZA JHON JAVIER
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2019-11-22,INVREGOM S.A.S,NIT,901342709,Otras actividades relacionadas con el mercado de valores,,,,MEDIANA,ANTIOQUIA,MEDELLIN,CARRERA 23  10 B 88,jrorestrepo@une.net.co,JOSE RODRIGO RESTREPO GONZALEZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2021-11-24,INVERCARMEN S.A.S ZOMAC,NIT,901543160,Construcción de otras obras de ingeniería civil,Construcción de carreteras y vías de ferrocarril,Construcción de proyectos de servicio público,,GRANDE,BOLIVAR,EL CARMEN DE BOLIVAR,CALLE 23  54  - 12 B,invercarmenzomac@gmail.com,DALJAIRA MARIA PEREZ OSPINO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2018-05-11,INVERSION LEON IBARRA SAS,NIT,901180582,Comercio al por menor de computadores equipos periféricos programas de informática y equipos de telecomunicaciones en establecimientos especializados,Comercio al por mayor de computadores equipo periférico y programas de informática,,,MEDIANA,NORTE DE SANTANDER,CUCUTA,CC ATLANTIS BDGA 9 P,importacionesdyr70@gmail.com,LEON ZAMBRANO RICHARD WILFRED
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2018-01-10,MANE SUCURSAL COLOMBIA,NIT,811023371,Fabricación de otros productos químicos n.c.p.,,,,MEDIANA,ANTIOQUIA,GUARNE,AUTOPISTA MEDELLIN B,rafael-eduardo.martinez@mane.com,ALBERT GARIN CHRISTIAN FRANCOIS
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2018-12-11,PROQUEST COLOMBIA S.A.S,NIT,901237267,Actividades de consultoría informática y actividades de administración de instalaciones informáticas,Comercio al por mayor de computadores equipo periférico y programas de informática,,,MEDIANA,BOGOTA,BOGOTA D.C.,CR 7 71 21 TO B OF 6,doris.camargo@proquest.com,MARTIN LESLIE REEVES
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2019-10-02,CALMM S.A.S EN LIQUIDACION,NIT,901327994,Actividades de apoyo diagnóstico,Edición de programas de informática (software),Comercio al por mayor de productos farmacéuticos medicinales cosméticos y de tocador,Actividades de desarrollo de sistemas informáticos (planificación análisis diseño programación pruebas),MEDIANA,BOGOTA,BOGOTA D.C.,Carrera 46 91 49,leonardo@saana.com.co,EDWIN SEGURA ESCOBAR
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2019-09-11,TUBULAR RUNNING & RENTAL SERVICES SAS,NIT,900209041,Actividades de apoyo para la extracción de petróleo y de gas natural,Otras actividades de servicio de apoyo a las empresas n.c.p.,Manipulación de carga,,MEDIANA,BOGOTA,BOGOTA D.C.,Cra 5 16 14 oficina ,gerencia.colombia@tr-rs.com,DIANA CAROLINA FORERO SUAREZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2018-06-27,MARKET CERDO S.A.S,NIT,901192535,Procesamiento y conservación de carne y productos cárnicos,Comercio al por mayor de productos alimenticios,Comercio al por menor de carnes (incluye aves de corral) productos cárnicos pescados y productos de mar en establecimientos especializados,,MEDIANA,ANTIOQUIA,ITAGUI,DG 42 NO 34A 34 AP 2,marketcerdo2@gmail.com,ESCOBAR CADAVID JUAN ESTEBAN
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2019-12-19,INCO S.A.S,NIT,901350166,Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil,Actividades de ingeniería y otras actividades conexas de consultoría técnica,Transporte de carga por carretera,,MEDIANA,HUILA,PITALITO,AVENIDA 3 NO. 19 276,incosas7@gmail.com,MUÑOZ JAIME ALVARO JOSE
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2019-08-28,DISTRIBUIDORA BEBIDAS DEL CAUCA S.A.S,NIT,900091810,Comercio al por mayor de bebidas y tabaco,,,,GRANDE,ANTIOQUIA,ITAGUI,CL 44 NO 37B 79,beaelejalde@hotmail.com,ELEJALDE OCHOA MARIA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2020-04-28,DIGITAL PLATFORMS COLOMBIA S.A.S.,NIT,901381198,Procesamiento de datos alojamiento (hosting) y actividades relacionadas,Actividades de consultoría informática y actividades de administración de instalaciones informáticas,Actividades postales nacionales,Alquiler y arrendamiento de otros tipos de maquinaria equipo y bienes tangibles n.c.p.,MEDIANA,BOGOTA,BOGOTA D.C.,Avenida Carrera 86 5,ganduquia@pibox.app,DIEGO FELIPE ROMERO PARRA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2018-02-07,"WINRED S.A.S. ""ZOMAC""",NIT,901158205,Otras actividades de servicio de apoyo a las empresas n.c.p.,Otras actividades de telecomunicaciones,Otras actividades de servicio financiero excepto las de seguros y pensiones n.c.p.,,MEDIANA,ANTIOQUIA,SALGAR,CALLE 29  30  65 LC ,contabilidad@serviwin.com,FELIPE  VELEZ GONZALEZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2021-06-22,CRISTAR TABLETOP S.A.S.,NIT,901495452,Fabricación de vidrio y productos de vidrio,,,,GRANDE,ANTIOQUIA,MEDELLIN,CARRERA 42  3 SUR 81,juridico@cristar.com.co,CARLOS ALBERTO TAMAYO DIAZ
