org_juridica,categoria,fecha_matricula,razon_social,tipo_identificacion,numero_identificacion,actividad_economica,actividad_economica2,actividad_economica3,actividad_economica4,desc_tamano_empresa,departamento,municipio,direccion_comercial,correo_comercial,rep_legal
Est. Ag. Suc,SUCURSAL,2022-08-18,AVIZOR SEGURIDAD LTDA,SIN IDENTIFICACION,0,Actividades de seguridad privada,,,,GRANDE,SANTANDER,BUCARAMANGA,CARRERA 19 # 41 - 51,gerencia@avizor.com.co,
Est. Ag. Suc,AGENCIA,2022-01-17,MADEMAX BUCARAMANGA,SIN IDENTIFICACION,0,Comercio al por mayor de otros productos n.c.p.,,,,MICRO,SANTANDER,BUCARAMANGA,KILOMETRO 3 - 100 VI,adminoriente@mademax.co,TORRES ESPITIA JUAN CARLOS 
Est. Ag. Suc,AGENCIA,2022-11-22,QUEST 130,SIN IDENTIFICACION,0,Confección de prendas de vestir excepto prendas de piel,Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,Fabricación de calzado de cuero y piel con cualquier tipo de suela,Comercio al por menor de productos textiles en establecimientos especializados,GRANDE,SANTANDER,BUCARAMANGA,TRANSVERSAL 93 # 34 ,q130@quest.com.co,BARBOSA RIOS GABRIEL ENRIQUE 
Est. Ag. Suc,AGENCIA,2022-07-12,GVS EXPRESS BUCARAMANGA,SIN IDENTIFICACION,0,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,Actividades de desarrollo de sistemas informáticos (planificación análisis diseño programación pruebas),,,MEDIANA,SANTANDER,BUCARAMANGA,CALLE 45 # 17 - 51,cali@gvscolombia.com,POMENTA GONZALEZ RICARDO JOSE
Est. Ag. Suc,SUCURSAL,2022-05-13,EXPERTOS SEGURIDAD LIMITADA,SIN IDENTIFICACION,0,Actividades de seguridad privada,,,,GRANDE,SANTANDER,BUCARAMANGA,CALLE 48 # 32 - 14 O,controlinterno@expertoseguridad.com.co,
Est. Ag. Suc,SUCURSAL,2023-01-06,9ALLIANCE BUCARAMANGA,SIN IDENTIFICACION,0,Actividades de consultoría de gestión,Actividades jurídicas,,,PEQUEÑA,SANTANDER,FLORIDABLANCA,CARRERA 5 # 23 - 00 ,juridica@9alliance.co,
Est. Ag. Suc,AGENCIA,2022-06-13,CORBETA DISTRIBUCIONES GIRON,SIN IDENTIFICACION,0,Comercio al por mayor no especializado,,,,GRANDE,SANTANDER,GIRON,CARRERA 16 # 60 - 24,impuestos@corbeta.com.co,
Est. Ag. Suc,AGENCIA,2022-11-08,S & M SERVICIOS Y MERCADEO S.A.S.,SIN IDENTIFICACION,0,Otras actividades de telecomunicaciones,Otras instalaciones especializadas,Otras actividades de servicio de apoyo a las empresas n.c.p.,,MEDIANA,SANTANDER,BUCARAMANGA,CALLE 35 # 13 - 66 B,jmaristizabal@servimercadeo.com,
Est. Ag. Suc,SUCURSAL,2022-03-22,COLMENA SEGUROS SUCURSAL BUCARAMANGA,SIN IDENTIFICACION,0,Actividad No Homologada CIIU v4,,,,MICRO,SANTANDER,BUCARAMANGA,CARRERA 29 # 45 - 99,notificaciones@colmenaseguros.com,
Est. Ag. Suc,AGENCIA,2022-01-31,DISAM BGA,SIN IDENTIFICACION,0,Comercio al por mayor de productos alimenticios,,,,GRANDE,SANTANDER,BUCARAMANGA,CARRERA 8 # 20 N - 1,contabilidad@disam.com.co,
