org_juridica,categoria,fecha_matricula,razon_social,tipo_identificacion,numero_identificacion,actividad_economica,actividad_economica2,actividad_economica3,actividad_economica4,desc_tamano_empresa,departamento,municipio,direccion_comercial,correo_comercial,rep_legal
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2002-01-25,TRIDEX FARMACEUTICA SAS,NIT,830097270,Fabricación de productos farmacéuticos sustancias químicas medicinales y productos botánicos de uso farmacéutico,Comercio al por mayor de productos farmacéuticos medicinales cosméticos y de tocador,Actividades inmobiliarias realizadas con bienes propios o arrendados,,MEDIANA,BOGOTA,BOGOTA D.C.,CARRERA 46 No 12-30,juridico@tridexsa.com,CHAYANNE ELENA GARCES LEZAMA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-10-02,CONSTRUCCIONES ALEMAN S A S,NIT,901119933,Construcción de otras obras de ingeniería civil,Construcción de edificios residenciales,Construcción de edificios no residenciales,,MEDIANA,BOGOTA,BOGOTA D.C.,Carrera 8 21 43 EDIF,construccionesalemansas@gmail.com,BIGAIL FRANCISCO ALEMAN NAVARRO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2020-07-27,HORUS ENERGY GROUP SAS,NIT,901397680,Comercio al por mayor de combustibles sólidos líquidos gaseosos y productos conexos,Fabricación de productos de hornos de coque,Extracción de hulla (carbón de piedra),Transporte de carga por carretera,MEDIANA,CUNDINAMARCA,CUCUNUBA,Vereda Pueblo Viejo ,contabilidad@horusenergygroup.com,GONZALO ENRIQUE ARENAS PAREDES
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2009-10-02,SOLUCIONES ENERGETICAS INGENIERIA S.A.S.,NIT,900315904,Instalaciones de fontanería calefacción y aire acondicionado,Comercio al por menor de electrodomésticos y gasodomésticos muebles y equipos de iluminación en establecimientos especializados,Construcción de otras obras de ingeniería civil,Otras actividades de limpieza de edificios e instalaciones industriales,MEDIANA,BOLIVAR,CARTAGENA,BOSQUE DIAGONAL 21A ,contabilidad@seicartagena.com,BETTY  ACUÑA DE BADRAN
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2004-08-17,DIVERMEGA S.A.S,NIT,832011318,Actividades de juegos de azar y apuestas,,,,MEDIANA,BOGOTA,BOGOTA D.C.,CARRERA 35 53A 40,divermegasa@hotmail.com,JOSE ALFONSO MENDEZ GUERRERO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2012-03-28,AGORASPORT S.A.,NIT,900513058,Construcción de otras obras de ingeniería civil,Construcción de edificios no residenciales,Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil,,MEDIANA,NO DETERMINADO,(FUERA DEL PAIS),POLIGONO MALPICA CAL,agorasportsa@gmail.com agorasport@agorasport.co,EDUARDO  SEVIL MEZQUIDA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1998-01-20,C.I. CURTIEMBRES MATTEUCCI S.A.S. EN LIQUIDACION JUDICIAL SIMPLIFICADA,NIT,806004404,Curtido y recurtido de cueros recurtido y teñido de pieles,,,,MEDIANA,BOLIVAR,CARTAGENA,CARRETERA MAMONAL  K,matteucci@telecom.com.co,FERNAN RAMIRO ALVAREZ RANGEL
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2014-03-17,ISMIT SAS,NIT,900713022,Construcción de otras obras de ingeniería civil,Instalaciones eléctricas,Mantenimiento y reparación especializado de equipo eléctrico,Construcción de edificios residenciales,GRANDE,ANTIOQUIA,MEDELLIN,CALLE 78  45  17,ismitsas@gmail.com,JOHN MARIO URREGO ACEVEDO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-08-22,HAIFA COLOMBIA S A S,NIT,901001507,Comercio al por mayor de productos químicos básicos cauchos y plásticos en formas primarias y productos químicos de uso agropecuario,Otras actividades profesionales científicas y técnicas n.c.p.,Comercio al por mayor de materias primas agropecuarias animales vivos,Fabricación de plaguicidas y otros productos químicos de uso agropecuario,MEDIANA,BOGOTA,BOGOTA D.C.,CL 110 NO. 9 - 25 OF,colombia@haifa-group.com,CLAUDIA PATRICIA CORONADO GOMEZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2014-09-26,INVERSIONES MEGAMOTOR S.A.S.,NIT,900774474,Comercio de motocicletas y de sus partes piezas y accesorios,,,,MEDIANA,HUILA,NEIVA,CARRERA 7 NRO. 2-45 ,gerencia@megamotor.com.co,GOMEZ BECERRA MARIELA
