org_juridica,categoria,fecha_matricula,razon_social,tipo_identificacion,numero_identificacion,actividad_economica,actividad_economica2,actividad_economica3,actividad_economica4,desc_tamano_empresa,departamento,municipio,direccion_comercial,correo_comercial,rep_legal
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-07-09,PROVEFABRICA S A S,NIT,900868270,Comercio al por mayor no especializado,Comercio al por mayor de otros utensilios domésticos n.c.p.,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,Comercio al por menor de electrodomésticos y gasodomésticos muebles y equipos de iluminación en establecimientos especializados,MEDIANA,CUNDINAMARCA,TENJO,AUTOPISTA MED. KM 6.,n_maquin@provefabrica.com,FRANCISCO XAVIER ALARCON LOPEZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2020-01-31,TESSUTI COLORS S.A.S,NIT,901361659,Comercio al por mayor de productos textiles productos confeccionados para uso doméstico,Tejeduría de productos textiles,Fabricación de muebles,Comercio al por mayor a cambio de una retribución o por contrata,GRANDE,BOGOTA,BOGOTA D.C.,Carrera 50 75 46,facturaelectronica@tessuticolors.com,LUIS FERNANDO CASTILLO GARZON
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2018-03-27,TEXTIMUEBLES PASTO SAS,NIT,901168172,Comercio al por menor de productos textiles en establecimientos especializados,Comercio al por mayor de otros utensilios domésticos n.c.p.,Comercio al por menor de artículos de ferretería pinturas y productos de vidrio en establecimientos especializados,Transporte de carga por carretera,MEDIANA,BOGOTA,BOGOTA D.C.,CL 74 NO. 52 39 B 12,textimuebles.pasto@yahoo.com.co,JORGE SAUL FIGUEROA PANTOJA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2008-07-02,LABORATORIOS SIEGFRIED S.A.S,NIT,900226948,Fabricación de productos farmacéuticos sustancias químicas medicinales y productos botánicos de uso farmacéutico,Comercio al por mayor de productos farmacéuticos medicinales cosméticos y de tocador,,,GRANDE,BOGOTA,BOGOTA D.C.,CALLE 17 No. 42 09,juridico@siegfried.com.co,EDUARDO ARTURO MACCHIAVELLO 
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2011-03-07,DICOIN DISEÑOS CONSTRUCCIONES E INTERVENTORIAS SAS,NIT,900418702,Construcción de carreteras y vías de ferrocarril,Construcción de otras obras de ingeniería civil,Terminación y acabado de edificios y obras de ingeniería civil,Actividades de ingeniería y otras actividades conexas de consultoría técnica,MEDIANA,CUNDINAMARCA,CAJICA,KR 5 N° 4A SUR -85,dicoincivil@gmail.com,MARIA FERNANDA CALVO URIBE
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2014-02-20,ZAGALABS SAS,NIT,900703778,Actividades de consultoría informática y actividades de administración de instalaciones informáticas,Publicidad,Comercio al por menor realizado a través de internet,Comercio al por mayor a cambio de una retribución o por contrata,MEDIANA,BOGOTA,BOGOTA D.C.,CL 93B 18 12 OF 603,marlon.bustos@zagalabs.com,ALEJANDRO  GOMEZ ARBELAEZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1997-01-15,IMPOCOSER S.A.S.,NIT,830025916,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,Actividades inmobiliarias realizadas con bienes propios o arrendados,Comercio al por menor de otros artículos domésticos en establecimientos especializados,Mantenimiento y reparación especializado de maquinaria y equipo,MEDIANA,BOGOTA,BOGOTA D.C.,AV CLL 13 No. 22 90,contabilidad@impocoser.com,JESUS HIGOR ROJAS VARGAS
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2003-05-16,CIATRAN S A S,NIT,830120753,Otras actividades profesionales científicas y técnicas n.c.p.,Otras actividades de servicio financiero excepto las de seguros y pensiones n.c.p.,,,MEDIANA,BOGOTA,BOGOTA D.C.,CARRERA 14B NO. 119-,luz.lagos@holdingvml.net,LUIS ALBERTO MORA PENAGOS
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1976-05-05,INCHCAPE COLOMBIA S.A.S.,NIT,860047657,Comercio de vehículos automotores nuevos,Comercio de partes piezas (autopartes) y accesorios (lujos) para vehículos automotores,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,Mantenimiento y reparación de vehículos automotores,GRANDE,BOGOTA,BOGOTA D.C.,CALLE 99 69C 41,didacol@didacol.com,LUIS FERNANDO MOLANO MILLAN
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2008-06-20,COMPAÑIA ASESORA SILVOTECNIA S.A.S.,NIT,811021071,Servicios de apoyo a la silvicultura,Silvicultura y otras actividades forestales,Extracción de madera,,GRANDE,ANTIOQUIA,ENVIGADO,CR 27 NRO. 35 SUR 16,jfc@silvotecnia.com,SUAREZ CARVAJAL VALENTINA
