org_juridica,categoria,fecha_matricula,razon_social,tipo_identificacion,numero_identificacion,actividad_economica,actividad_economica2,actividad_economica3,actividad_economica4,desc_tamano_empresa,departamento,municipio,direccion_comercial,correo_comercial,rep_legal
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1995-03-17,CENTRAL DE COOPERATIVAS DE SERVICIOS INTEGRALES DE CORDOBA (CESINCOR LTDA),NIT,812000010,Pompas fúnebres y actividades relacionadas,,,,MEDIANA,CORDOBA,MONTERIA,CRA 14 NRO. 34-09,gerenciamonteria@losolivos.co,FUENTES ALVAREZ SIRLEY YASNARY
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1994-10-05,PROCEDATA INTERNACIONAL S.A.S,NIT,800243347,Actividades de consultoría informática y actividades de administración de instalaciones informáticas,,,,MEDIANA,BOGOTA,BOGOTA D.C.,CRA. 11 NO. 93-53 OF,mauricios@procedata.com,MAURICIO  SARRIA PLATA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1972-03-23,LOS HALCONES S.A.S.,NIT,890906148,Otros tipos de educación n.c.p.,Mantenimiento y reparación especializado de equipo de transporte excepto los vehículos automotores motocicletas y bicicletas,Transporte aéreo nacional de pasajeros,,MEDIANA,ANTIOQUIA,MEDELLIN,CALLE 3  66  63 HANG,gerencia@loshalcones.net,LINA MARIA MONTOYA LONDOÑO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1972-03-09,LABORATORIOS RYAN DE COLOMBIA S.A.S.,NIT,860029237,Fabricación de productos farmacéuticos sustancias químicas medicinales y productos botánicos de uso farmacéutico,Comercio al por mayor de productos farmacéuticos medicinales cosméticos y de tocador,Actividades inmobiliarias realizadas con bienes propios o arrendados,,MEDIANA,BOGOTA,BOGOTA D.C.,CARRERA 18 # 120 - 8,gerencia@ryanlab.com,ADRIANA SOLANO D ACHIARDI
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2012-03-07,DIPLOMAT EMBAJADA,NIT,900505512,Alojamiento en hoteles,Expendio a la mesa de comidas preparadas,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,Otras actividades profesionales científicas y técnicas n.c.p.,MEDIANA,BOGOTA,BOGOTA D.C.,AC 24 NO. 51 40,facturacionelectronica@hoteltrypembajada.com,LUIS ALEXANDER FERRER VALDERRAMA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1998-10-27,MILLENIUM BPO SA,NIT,830050856,Actividades de centros de llamadas (call center),Comercio al por mayor de computadores equipo periférico y programas de informática,Otras actividades de telecomunicaciones,,GRANDE,BOGOTA,BOGOTA D.C.,Autopista Medellín K,adelgado@millenium.com.co,ANDRES EDUARDO ZULUAGA CAMACHO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2010-08-18,OLEODUCTO BICENTENARIO DE COLOMBIA S A S,NIT,900377365,Transporte por tuberías,,,,GRANDE,BOGOTA,BOGOTA D.C.,CR 11 A NO. 93 - 35 ,notificaciones.judiciales@bicentenario.com.co,ANABELLA VEGAS ZUBELDIA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1964-03-02,AMALFI S.A.S.,NIT,890301443,Otros tipos de comercio al por menor no realizado en establecimientos puestos de venta o mercados,Cultivo de caña de azúcar,Cría de ganado bovino y bufalino,Actividades inmobiliarias realizadas con bienes propios o arrendados,GRANDE,VALLE DEL CAUCA,CALI,AV 3 OESTE # 10 OEST,amalfisa@siena.com.co,CLAUDIA BEATRIZ BETANCOURT AZCARATE
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2005-08-09,VENTA INTERMEDIARIA AGENCIA DE SEGUROS LIMITADA,NIT,900038523,Actividades de agentes y corredores de seguros,Otras actividades de servicios personales n.c.p.,,,MEDIANA,BOGOTA,BOGOTA D.C.,AC 9 50 15  PI 2 LOC,contabilidad@viaseguros.com.co,JOSE GABRIEL RODRIGUEZ HERNANDEZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2018-05-15,SOLVO S.A.S,NIT,901180401,Actividades de centros de llamadas (call center),Otras actividades complementarias al transporte,Transporte de carga por carretera,Otras actividades de servicio de apoyo a las empresas n.c.p.,GRANDE,ANTIOQUIA,MEDELLIN,CALLE 3 SUR 36  10,lotalvaro@solvoglobal.com,LAURA MARCELA OTALVARO PELAEZ
