org_juridica,categoria,fecha_matricula,razon_social,tipo_identificacion,numero_identificacion,actividad_economica,actividad_economica2,actividad_economica3,actividad_economica4,desc_tamano_empresa,departamento,municipio,direccion_comercial,correo_comercial,rep_legal
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-01-26,GRUPO EMPRESARIAL OPTICAL S A S,NIT,900929872,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,,,,MEDIANA,BOGOTA,BOGOTA D.C.,CL 19 NO 9 - 01 P 7 ,jessica.salazar12@hotmail.com,YESICA CAROLINA SALAZAR ARISTIZABAL
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2009-06-09,ADP CONSULTORES SAS,NIT,900293650,Actividades de consultoría informática y actividades de administración de instalaciones informáticas,,,,MEDIANA,BOGOTA,BOGOTA D.C.,AV CRA 9 NO. 115 - 0,dora.quintero@snpgroup.com,BERNARDO  KOLTUN BORENSTEIN
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1995-02-20,CODISERT S.A.,NIT,805000582,Actividades de telecomunicaciones alámbricas,Actividades postales nacionales,,,MEDIANA,VALLE DEL CAUCA,BUENAVENTURA,DIAG 3 A  3 A 60,codisert@codinet.net.co,FERRER MORCILLO GABRIEL ENRIQUE
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2020-04-20,EMPRESA DE SERVICIO DE ALUMBRADO PUBLICO DE YOPAL SAYOP S.A.S. E.S.P.,NIT,901380793,Instalaciones eléctricas,Construcción de proyectos de servicio público,Actividades de ingeniería y otras actividades conexas de consultoría técnica,Mantenimiento y reparación especializado de equipo eléctrico,GRANDE,CASANARE,YOPAL,TRANSVERSAL 18 Nro. ,sayopsasesp@gmail.com,MARTINEZ ORTIZ CHRISTIAN HUMBERTO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1997-01-17,PETTACCI S A,NIT,830026048,Confección de prendas de vestir excepto prendas de piel,Acabado de productos textiles,Manipulación de carga,Actividades de impresión,GRANDE,BOGOTA,BOGOTA D.C.,CRA 106 NO. 15-25 IN,contabilidad@pettacci.co,JOSE LAUREANO NUÑEZ BARON
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2014-05-09,EMPOLLADORA COLOMBIANA S.A.S,NIT,832001292,Cría de aves de corral,Comercio al por menor de carnes (incluye aves de corral) productos cárnicos pescados y productos de mar en establecimientos especializados,Otras actividades relacionadas con el mercado de valores,Procesamiento y conservación de carne y productos cárnicos,GRANDE,BOGOTA,BOGOTA D.C.,CALLE 110 NO. 9-25 O,grupoavicola@hotmail.com,HERNANDO ESCOBAR ACOSTA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2018-09-14,DISTRIBUIDORA VENUS S.A.S.,NIT,811026142,Comercio al por mayor de calzado,Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados,Comercio al por mayor de productos farmacéuticos medicinales cosméticos y de tocador,Comercio al por mayor no especializado,MEDIANA,ANTIOQUIA,LA ESTRELLA,CL 79B SUR NO 50 150,contabilidad@distrivenus.com,RUIZ SALAZAR SILVIO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1972-03-16,GENERAL DE EQUIPOS DE COLOMBIA S A GECOLSA,NIT,860002576,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,Mantenimiento y reparación especializado de maquinaria y equipo,Alquiler y arrendamiento de otros tipos de maquinaria equipo y bienes tangibles n.c.p.,Otras actividades de telecomunicaciones,GRANDE,BOGOTA,BOGOTA D.C.,AV AMERICAS NO 42 A ,sandra.suarez@soe360grados.com.co,ANDREY ALONSO ROMERO BONILLA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1985-03-18,ALMACEN Y FERRETERIA SUS REPUESTOS & COMPANIA LIMITADA,NIT,890115260,Comercio de partes piezas (autopartes) y accesorios (lujos) para vehículos automotores,,,,MEDIANA,ATLANTICO,BARRANQUILLA,CL 47 No 16 - 60,almacenyferreteriasusrepuestos@gmail.com,Arenas Villamizar Hernando
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1996-08-26,DULCES FLOWER S.A.S.,NIT,811006300,Elaboración de productos lácteos,Procesamiento y conservación de frutas legumbres hortalizas y tubérculos,Transporte de carga por carretera,,MEDIANA,ANTIOQUIA,ITAGUI,CL 51 NO 40 125,revisoriafiscal@dulcesflower.com,ESPINOSA FLOREZ BERNARDO DE JESUS
