org_juridica,categoria,fecha_matricula,razon_social,tipo_identificacion,numero_identificacion,actividad_economica,actividad_economica2,actividad_economica3,actividad_economica4,desc_tamano_empresa,departamento,municipio,direccion_comercial,correo_comercial,rep_legal
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2010-04-26,DATTEC S A S,NIT,900353879,Actividades de desarrollo de sistemas informáticos (planificación análisis diseño programación pruebas),Actividades de consultoría informática y actividades de administración de instalaciones informáticas,Actividades de administración empresarial,Actividades de contabilidad teneduría de libros auditoría financiera y asesoría tributaria,PEQUEÑA,BOGOTA,BOGOTA D.C.,CR 16 NUMERO 96-64 O,wilson.melo@dattec.com.co,CESAR WILSON MELO PALENCIA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1998-03-10,KRYPTO CONSULTORIA S.A.S BIC,NIT,830042385,Actividades de desarrollo de sistemas informáticos (planificación análisis diseño programación pruebas),Actividades de consultoría de gestión,Actividades de administración empresarial,Actividades de contabilidad teneduría de libros auditoría financiera y asesoría tributaria,PEQUEÑA,BOGOTA,BOGOTA D.C.,Carrera 7B N 108A - ,luis.gutierrez@krypto.com.co,LUIS FERNANDO GUTIERREZ ORREGO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-10-25,BPO CONSULTORES S.A.S.,NIT,900410325,Actividades de desarrollo de sistemas informáticos (planificación análisis diseño programación pruebas),Actividades combinadas de servicios administrativos de oficina,Actividades de administración empresarial,Procesamiento de datos alojamiento (hosting) y actividades relacionadas,PEQUEÑA,ANTIOQUIA,ENVIGADO,CL 27 SUR  NO 27B 12,ceo@bpoconsultores.com.co,BOTERO ANGEL PATRICIA DEL PILAR
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2018-03-22,TECOLSOFT INTEGRADORA DE SOLUCIONES TIS SAS,NIT,901166798,Actividades de consultoría informática y actividades de administración de instalaciones informáticas,Otras actividades de tecnologías de información y actividades de servicios informáticos,Actividades de administración empresarial,Actividades de consultoría de gestión,PEQUEÑA,VALLE DEL CAUCA,CALI,CALLE 40 NORTE 4N 37,raphael.ocampo@tecolsoft.com,RAPHAEL  OCAMPO ROJAS
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2009-06-12,SYSTEMICO SOFTWARE S.A.S,NIT,900294476,Actividades de desarrollo de sistemas informáticos (planificación análisis diseño programación pruebas),Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería,Actividades de administración empresarial,Otras actividades de tecnologías de información y actividades de servicios informáticos,PEQUEÑA,SANTANDER,BUCARAMANGA,CARRERA 26 A # 104 -,cao@systemico.co,ARIZA CACERES EDWIN ALONSO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2009-05-15,INVERSIONES COPSERVIMOS S.A.,NIT,900284191,Otras actividades de telecomunicaciones,Construcción de proyectos de servicio público,Actividades de administración empresarial,,MEDIANA,TOLIMA,IBAGUE,CR 6 N 20-40,incoopsa@gmail.com,CACERES GARCIA PEPE
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2004-12-20,GROWING NETWORK S.A.S,NIT,830511044,Actividades de desarrollo de sistemas informáticos (planificación análisis diseño programación pruebas),Otras actividades de tecnologías de información y actividades de servicios informáticos,Actividades de administración empresarial,Actividades de consultoría informática y actividades de administración de instalaciones informáticas,MEDIANA,SANTANDER,FLORIDABLANCA,AUTOPISTA FLORIDABLA,growingnetworksas@hotmail.com,BONILLA TORRES JOHN EDINSON 
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2008-01-22,SEVEN4N S.A.S.,NIT,900195138,Actividades de desarrollo de sistemas informáticos (planificación análisis diseño programación pruebas),Actividades de consultoría informática y actividades de administración de instalaciones informáticas,Actividades de administración empresarial,,GRANDE,BOGOTA,BOGOTA D.C.,AK 45 # 103-40 OFICI,orgs4ninfo@epam.com,JUAN PABLO VERGARA VILLARRAGA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2019-02-26,NOVUSTECH S.A.S.,NIT,901036761,Actividades de desarrollo de sistemas informáticos (planificación análisis diseño programación pruebas),Actividades de consultoría de gestión,Actividades de administración empresarial,Otras actividades de tecnologías de información y actividades de servicios informáticos,PEQUEÑA,SANTANDER,BUCARAMANGA,CARRERA 78 # 27 - 67,novustechsas@hotmail.com,MONTES ECHEVERRY ALEJANDRO MARIO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2020-01-21,SOMO GLOBAL S.A.S.,NIT,901357213,Actividades de desarrollo de sistemas informáticos (planificación análisis diseño programación pruebas),Actividades de consultoría informática y actividades de administración de instalaciones informáticas,Actividades de administración empresarial,,MEDIANA,ANTIOQUIA,MEDELLIN,CALLE 67  52  20 ED.,administrativo@globalista.co,GLOBALISTA S.A.S
